"Rk.","Team","Season","Pitches_empty","Tempo_empty","TimerEquiv._empty","Fast %_empty","Slow %_empty","Pitches_onBase","Tempo_onBase","TimerEquiv._onBase","Fast %_onBase","Slow %_onBase"
"1"," White Sox"," 2010"," 6905"," 14.0"," 8.0"," 57.5%"," 1.4%"," 4143"," 20.9"," 14.9"," 6.2%"," 9.1%"," 
                Compare
            "
"2"," Athletics"," 2010"," 7262"," 14.2"," 8.2"," 56.4%"," 2.0%"," 4088"," 19.9"," 13.9"," 6.6%"," 8.2%"," 
                Compare
            "
"3"," White Sox"," 2011"," 6628"," 14.5"," 8.5"," 54.8%"," 1.0%"," 3848"," 21.0"," 15.0"," 5.2%"," 8.5%"," 
                Compare
            "
"4"," Mariners"," 2010"," 6718"," 14.6"," 8.6"," 54.1%"," 1.4%"," 3843"," 20.0"," 14.0"," 5.5%"," 10.2%"," 
                Compare
            "
"5"," Guardians"," 2012"," 6863"," 14.7"," 8.7"," 53.0%"," 1.3%"," 4482"," 20.7"," 14.7"," 5.2%"," 9.7%"," 
                Compare
            "
"6"," D-backs"," 2011"," 6481"," 14.7"," 8.7"," 53.7%"," 1.1%"," 4004"," 22.2"," 16.2"," 1.7%"," 10.9%"," 
                Compare
            "
"7"," Orioles"," 2011"," 6721"," 14.8"," 8.8"," 52.4%"," 1.0%"," 4397"," 21.0"," 15.0"," 3.9%"," 8.1%"," 
                Compare
            "
"8"," Twins"," 2011"," 6247"," 14.8"," 8.8"," 52.2%"," 1.4%"," 4050"," 21.5"," 15.5"," 3.6%"," 12.2%"," 
                Compare
            "
"9"," Marlins"," 2012"," 6550"," 14.9"," 8.9"," 50.9%"," 1.3%"," 4195"," 22.5"," 16.5"," 2.5%"," 11.8%"," 
                Compare
            "
"10"," Mets"," 2012"," 6607"," 14.9"," 8.9"," 50.7%"," 1.3%"," 4069"," 21.2"," 15.2"," 6.1%"," 9.2%"," 
                Compare
            "
"11"," White Sox"," 2012"," 7172"," 14.9"," 8.9"," 50.7%"," 1.1%"," 3824"," 21.8"," 15.8"," 2.6%"," 9.5%"," 
                Compare
            "
"12"," Padres"," 2011"," 6759"," 14.9"," 8.9"," 50.5%"," 1.2%"," 3929"," 21.3"," 15.3"," 3.1%"," 11.9%"," 
                Compare
            "
"13"," Marlins"," 2010"," 6840"," 15.0"," 9.0"," 52.6%"," 2.5%"," 4392"," 21.0"," 15.0"," 6.3%"," 10.4%"," 
                Compare
            "
"14"," Royals"," 2011"," 6815"," 15.0"," 9.0"," 50.1%"," 1.3%"," 4400"," 21.8"," 15.8"," 2.5%"," 11.4%"," 
                Compare
            "
"15"," Cubs"," 2010"," 6855"," 15.0"," 9.0"," 51.1%"," 2.3%"," 4604"," 21.0"," 15.0"," 5.9%"," 9.8%"," 
                Compare
            "
"16"," Cardinals"," 2010"," 6793"," 15.0"," 9.0"," 48.6%"," 2.1%"," 4182"," 21.9"," 15.9"," 3.5%"," 10.2%"," 
                Compare
            "
"17"," Royals"," 2010"," 6770"," 15.0"," 9.0"," 46.0%"," 1.2%"," 4494"," 22.0"," 16.0"," 2.4%"," 11.2%"," 
                Compare
            "
"18"," D-backs"," 2012"," 6560"," 15.0"," 9.0"," 49.3%"," 1.6%"," 3812"," 22.1"," 16.1"," 1.4%"," 10.5%"," 
                Compare
            "
"19"," Phillies"," 2010"," 6975"," 15.1"," 9.1"," 44.3%"," 3.3%"," 4166"," 20.9"," 14.9"," 6.2%"," 9.7%"," 
                Compare
            "
"20"," Astros"," 2011"," 6683"," 15.2"," 9.2"," 47.7%"," 1.7%"," 4327"," 21.5"," 15.5"," 4.5%"," 12.2%"," 
                Compare
            "
"21"," Angels"," 2010"," 7303"," 15.2"," 9.2"," 44.6%"," 2.2%"," 4552"," 22.0"," 16.0"," 1.7%"," 13.0%"," 
                Compare
            "
"22"," Mets"," 2011"," 6467"," 15.2"," 9.2"," 47.4%"," 1.3%"," 4232"," 21.6"," 15.6"," 4.4%"," 11.9%"," 
                Compare
            "
"23"," Cardinals"," 2011"," 6305"," 15.3"," 9.3"," 47.5%"," 1.2%"," 3837"," 22.3"," 16.3"," 2.4%"," 10.5%"," 
                Compare
            "
"24"," Blue Jays"," 2013"," 7079"," 15.3"," 9.3"," 46.3%"," 1.5%"," 4222"," 21.4"," 15.4"," 3.5%"," 10.9%"," 
                Compare
            "
"25"," Angels"," 2011"," 6913"," 15.4"," 9.4"," 45.2%"," 1.1%"," 3912"," 22.0"," 16.0"," 1.3%"," 12.1%"," 
                Compare
            "
"26"," Athletics"," 2011"," 6888"," 15.4"," 9.4"," 43.9%"," 1.0%"," 4289"," 20.5"," 14.5"," 3.4%"," 9.3%"," 
                Compare
            "
"27"," Blue Jays"," 2014"," 6796"," 15.5"," 9.5"," 44.7%"," 1.1%"," 4266"," 21.5"," 15.5"," 3.6%"," 8.6%"," 
                Compare
            "
"28"," Mariners"," 2011"," 6429"," 15.5"," 9.5"," 44.3%"," 1.4%"," 3707"," 22.0"," 16.0"," 3.0%"," 12.1%"," 
                Compare
            "
"29"," D-backs"," 2013"," 7013"," 15.5"," 9.5"," 44.2%"," 1.5%"," 3853"," 22.6"," 16.6"," 1.5%"," 10.9%"," 
                Compare
            "
"30"," Rangers"," 2011"," 7037"," 15.6"," 9.6"," 44.1%"," 1.5%"," 3981"," 22.1"," 16.1"," 1.7%"," 12.6%"," 
                Compare
            "
"31"," Guardians"," 2013"," 6766"," 15.6"," 9.6"," 42.6%"," 1.7%"," 4428"," 21.6"," 15.6"," 2.4%"," 10.1%"," 
                Compare
            "
"32"," Guardians"," 2011"," 6390"," 15.7"," 9.7"," 42.8%"," 1.8%"," 4194"," 21.5"," 15.5"," 3.4%"," 11.9%"," 
                Compare
            "
"33"," Cubs"," 2011"," 6491"," 15.7"," 9.7"," 41.4%"," 1.2%"," 4438"," 21.4"," 15.4"," 4.6%"," 9.3%"," 
                Compare
            "
"34"," Rockies"," 2011"," 6593"," 15.7"," 9.7"," 42.5%"," 2.5%"," 3890"," 23.9"," 17.9"," 1.6%"," 17.0%"," 
                Compare
            "
"35"," Orioles"," 2012"," 7005"," 15.7"," 9.7"," 41.2%"," 1.1%"," 4205"," 22.1"," 16.1"," 1.9%"," 8.4%"," 
                Compare
            "
"36"," Marlins"," 2011"," 6684"," 15.8"," 9.8"," 41.1%"," 0.9%"," 3798"," 23.0"," 17.0"," 1.5%"," 12.8%"," 
                Compare
            "
"37"," Reds"," 2010"," 7134"," 15.8"," 9.8"," 43.1%"," 2.7%"," 4524"," 21.0"," 15.0"," 5.3%"," 11.0%"," 
                Compare
            "
"38"," Brewers"," 2011"," 6804"," 15.8"," 9.8"," 40.8%"," 2.1%"," 4041"," 23.3"," 17.3"," 1.2%"," 14.6%"," 
                Compare
            "
"39"," Padres"," 2012"," 6910"," 15.8"," 9.8"," 40.9%"," 1.6%"," 3851"," 22.1"," 16.1"," 1.7%"," 13.1%"," 
                Compare
            "
"40"," Phillies"," 2011"," 6525"," 15.8"," 9.8"," 39.4%"," 1.1%"," 3742"," 19.9"," 13.9"," 5.3%"," 7.6%"," 
                Compare
            "
"41"," Nationals"," 2013"," 6739"," 15.8"," 9.8"," 41.3%"," 1.3%"," 3867"," 21.1"," 15.1"," 2.9%"," 9.4%"," 
                Compare
            "
"42"," Cardinals"," 2017"," 7036"," 15.8"," 9.8"," 40.4%"," 0.8%"," 3962"," 23.1"," 17.1"," 1.4%"," 10.2%"," 
                Compare
            "
"43"," Royals"," 2012"," 6861"," 15.9"," 9.9"," 40.8%"," 1.9%"," 4260"," 22.4"," 16.4"," 2.2%"," 14.2%"," 
                Compare
            "
"44"," Padres"," 2013"," 6984"," 15.9"," 9.9"," 38.8%"," 1.7%"," 4121"," 22.6"," 16.6"," 1.7%"," 11.7%"," 
                Compare
            "
"45"," Cardinals"," 2013"," 6553"," 15.9"," 9.9"," 39.4%"," 1.4%"," 3932"," 23.7"," 17.7"," 1.8%"," 12.1%"," 
                Compare
            "
"46"," Orioles"," 2010"," 6744"," 15.9"," 9.9"," 42.5%"," 2.8%"," 4673"," 21.0"," 15.0"," 4.2%"," 10.5%"," 
                Compare
            "
"47"," Mets"," 2013"," 6866"," 15.9"," 9.9"," 39.9%"," 1.6%"," 3942"," 23.0"," 17.0"," 2.1%"," 11.9%"," 
                Compare
            "
"48"," Padres"," 2010"," 7453"," 15.9"," 9.9"," 42.8%"," 2.2%"," 3806"," 22.0"," 16.0"," 4.1%"," 13.1%"," 
                Compare
            "
"49"," Cardinals"," 2012"," 6356"," 16.0"," 10.0"," 39.9%"," 1.5%"," 4024"," 23.1"," 17.1"," 1.0%"," 10.7%"," 
                Compare
            "
"50"," Angels"," 2012"," 7146"," 16.0"," 10.0"," 40.4%"," 1.7%"," 3882"," 23.0"," 17.0"," 1.0%"," 14.1%"," 
                Compare
            "
"51"," Rockies"," 2010"," 6930"," 16.0"," 10.0"," 41.9%"," 3.0%"," 4155"," 23.0"," 17.0"," 1.9%"," 16.9%"," 
                Compare
            "
"52"," Astros"," 2010"," 6834"," 16.0"," 10.0"," 41.0%"," 3.1%"," 4565"," 22.0"," 16.0"," 3.0%"," 13.5%"," 
                Compare
            "
"53"," Pirates"," 2010"," 6542"," 16.0"," 10.0"," 40.6%"," 2.4%"," 4601"," 22.5"," 16.5"," 1.9%"," 12.5%"," 
                Compare
            "
"54"," Guardians"," 2010"," 6905"," 16.0"," 10.0"," 40.8%"," 2.1%"," 4871"," 22.0"," 16.0"," 1.9%"," 12.0%"," 
                Compare
            "
"55"," Mets"," 2010"," 6832"," 16.0"," 10.0"," 40.9%"," 2.0%"," 4703"," 22.0"," 16.0"," 3.9%"," 10.6%"," 
                Compare
            "
"56"," Twins"," 2010"," 6594"," 16.0"," 10.0"," 39.2%"," 2.0%"," 4004"," 23.0"," 17.0"," 2.8%"," 11.7%"," 
                Compare
            "
"57"," Tigers"," 2010"," 6856"," 16.0"," 10.0"," 39.1%"," 3.0%"," 4516"," 23.0"," 17.0"," 0.8%"," 14.3%"," 
                Compare
            "
"58"," Giants"," 2010"," 6979"," 16.0"," 10.0"," 39.0%"," 2.6%"," 4279"," 23.0"," 17.0"," 1.3%"," 14.5%"," 
                Compare
            "
"59"," Rangers"," 2010"," 7203"," 16.0"," 10.0"," 37.0%"," 3.2%"," 4486"," 22.0"," 16.0"," 2.5%"," 13.7%"," 
                Compare
            "
"60"," Dodgers"," 2010"," 6814"," 16.0"," 10.0"," 35.4%"," 2.8%"," 4302"," 23.0"," 17.0"," 2.4%"," 16.3%"," 
                Compare
            "
"61"," Reds"," 2018"," 6845"," 16.0"," 10.0"," 37.8%"," 1.1%"," 4071"," 22.2"," 16.2"," 2.6%"," 9.7%"," 
                Compare
            "
"62"," Athletics"," 2012"," 7024"," 16.0"," 10.0"," 36.4%"," 1.4%"," 3923"," 22.6"," 16.6"," 1.6%"," 11.1%"," 
                Compare
            "
"63"," D-backs"," 2010"," 6873"," 16.0"," 10.0"," 34.0%"," 2.2%"," 4439"," 22.2"," 16.2"," 2.2%"," 14.4%"," 
                Compare
            "
"64"," Blue Jays"," 2010"," 6924"," 16.0"," 10.0"," 33.7%"," 6.5%"," 4510"," 23.0"," 17.0"," 1.7%"," 16.9%"," 
                Compare
            "
"65"," Brewers"," 2010"," 7028"," 16.0"," 10.0"," 34.8%"," 2.2%"," 4691"," 23.0"," 17.0"," 1.5%"," 13.2%"," 
                Compare
            "
"66"," Twins"," 2012"," 6492"," 16.0"," 10.0"," 37.0%"," 1.3%"," 4032"," 22.9"," 16.9"," 1.5%"," 11.7%"," 
                Compare
            "
"67"," Marlins"," 2018"," 7281"," 16.0"," 10.0"," 39.3%"," 1.2%"," 4263"," 22.4"," 16.4"," 1.0%"," 10.6%"," 
                Compare
            "
"68"," Pirates"," 2011"," 6221"," 16.1"," 10.1"," 37.8%"," 1.9%"," 4198"," 23.0"," 17.0"," 1.3%"," 14.7%"," 
                Compare
            "
"69"," Nationals"," 2015"," 6609"," 16.1"," 10.1"," 42.0%"," 3.4%"," 3526"," 23.1"," 17.1"," 9.8%"," 20.7%"," 
                Compare
            "
"70"," D-backs"," 2014"," 6753"," 16.1"," 10.1"," 38.7%"," 1.2%"," 3940"," 22.8"," 16.8"," 1.4%"," 13.4%"," 
                Compare
            "
"71"," Cardinals"," 2014"," 6644"," 16.1"," 10.1"," 38.0%"," 1.6%"," 3853"," 23.3"," 17.3"," 1.8%"," 12.8%"," 
                Compare
            "
"72"," Rangers"," 2012"," 7020"," 16.1"," 10.1"," 39.5%"," 2.5%"," 3956"," 22.3"," 16.3"," 2.2%"," 13.4%"," 
                Compare
            "
"73"," White Sox"," 2013"," 7240"," 16.2"," 10.2"," 37.5%"," 1.4%"," 4317"," 22.6"," 16.6"," 1.6%"," 10.6%"," 
                Compare
            "
"74"," Athletics"," 2013"," 6967"," 16.2"," 10.2"," 36.3%"," 1.9%"," 3868"," 22.5"," 16.5"," 3.6%"," 12.0%"," 
                Compare
            "
"75"," Blue Jays"," 2011"," 6794"," 16.2"," 10.2"," 36.3%"," 1.9%"," 4225"," 22.7"," 16.7"," 1.8%"," 14.1%"," 
                Compare
            "
"76"," Royals"," 2013"," 6931"," 16.2"," 10.2"," 36.8%"," 1.9%"," 3943"," 22.1"," 16.1"," 2.1%"," 10.4%"," 
                Compare
            "
"77"," Phillies"," 2012"," 6549"," 16.2"," 10.2"," 36.4%"," 2.0%"," 3823"," 21.2"," 15.2"," 3.0%"," 9.5%"," 
                Compare
            "
"78"," Nationals"," 2014"," 6645"," 16.2"," 10.2"," 37.4%"," 1.4%"," 3352"," 22.6"," 16.6"," 2.3%"," 10.7%"," 
                Compare
            "
"79"," Braves"," 2015"," 6561"," 16.2"," 10.2"," 40.5%"," 3.7%"," 4116"," 23.1"," 17.1"," 8.0%"," 20.5%"," 
                Compare
            "
"80"," Mets"," 2018"," 7010"," 16.2"," 10.2"," 37.1%"," 1.4%"," 4052"," 22.3"," 16.3"," 2.7%"," 11.6%"," 
                Compare
            "
"81"," Braves"," 2011"," 6926"," 16.2"," 10.2"," 33.5%"," 1.3%"," 3980"," 21.0"," 15.0"," 3.7%"," 9.7%"," 
                Compare
            "
"82"," Pirates"," 2017"," 6562"," 16.2"," 10.2"," 36.4%"," 2.0%"," 4334"," 23.4"," 17.4"," 0.3%"," 14.6%"," 
                Compare
            "
"83"," Giants"," 2011"," 6884"," 16.3"," 10.3"," 35.5%"," 1.8%"," 4075"," 22.2"," 16.2"," 2.7%"," 10.6%"," 
                Compare
            "
"84"," Astros"," 2012"," 6628"," 16.3"," 10.3"," 37.4%"," 2.1%"," 4263"," 23.5"," 17.5"," 1.6%"," 15.6%"," 
                Compare
            "
"85"," Yankees"," 2013"," 6841"," 16.3"," 10.3"," 34.5%"," 1.8%"," 4229"," 22.5"," 16.5"," 1.3%"," 13.0%"," 
                Compare
            "
"86"," Braves"," 2012"," 6592"," 16.3"," 10.3"," 32.4%"," 1.3%"," 3652"," 21.0"," 15.0"," 2.7%"," 9.3%"," 
                Compare
            "
"87"," Pirates"," 2018"," 6734"," 16.4"," 10.4"," 32.2%"," 1.6%"," 4162"," 23.5"," 17.5"," 0.3%"," 13.8%"," 
                Compare
            "
"88"," Rockies"," 2012"," 6541"," 16.4"," 10.4"," 34.2%"," 2.3%"," 4545"," 22.7"," 16.7"," 2.1%"," 15.5%"," 
                Compare
            "
"89"," Cubs"," 2012"," 6559"," 16.4"," 10.4"," 32.8%"," 2.1%"," 4245"," 22.7"," 16.7"," 0.9%"," 13.1%"," 
                Compare
            "
"90"," Cardinals"," 2016"," 6610"," 16.4"," 10.4"," 38.6%"," 2.8%"," 4224"," 24.4"," 18.4"," 6.0%"," 21.1%"," 
                Compare
            "
"91"," Orioles"," 2013"," 7092"," 16.4"," 10.4"," 32.6%"," 1.0%"," 4013"," 23.4"," 17.4"," 0.5%"," 11.4%"," 
                Compare
            "
"92"," Padres"," 2014"," 6665"," 16.4"," 10.4"," 34.6%"," 2.4%"," 3809"," 23.1"," 17.1"," 1.5%"," 14.4%"," 
                Compare
            "
"93"," Rangers"," 2018"," 6864"," 16.4"," 10.4"," 35.3%"," 1.6%"," 4252"," 22.6"," 16.6"," 1.3%"," 11.2%"," 
                Compare
            "
"94"," Marlins"," 2017"," 7100"," 16.4"," 10.4"," 37.0%"," 1.4%"," 4389"," 22.3"," 16.3"," 1.8%"," 13.1%"," 
                Compare
            "
"95"," Braves"," 2010"," 6828"," 16.4"," 10.4"," 30.3%"," 2.7%"," 4159"," 22.0"," 16.0"," 3.6%"," 11.0%"," 
                Compare
            "
"96"," Nationals"," 2012"," 6695"," 16.4"," 10.4"," 35.4%"," 1.9%"," 4004"," 22.6"," 16.6"," 2.5%"," 14.1%"," 
                Compare
            "
"97"," Rays"," 2011"," 6863"," 16.4"," 10.4"," 35.8%"," 2.0%"," 3801"," 23.6"," 17.6"," 1.4%"," 16.4%"," 
                Compare
            "
"98"," Royals"," 2018"," 6887"," 16.4"," 10.4"," 33.3%"," 1.5%"," 4382"," 21.7"," 15.7"," 2.1%"," 8.9%"," 
                Compare
            "
"99"," Blue Jays"," 2015"," 6699"," 16.4"," 10.4"," 39.8%"," 4.0%"," 3614"," 22.7"," 16.7"," 11.9%"," 18.9%"," 
                Compare
            "
"100"," Nationals"," 2011"," 6597"," 16.4"," 10.4"," 35.4%"," 1.8%"," 3928"," 22.8"," 16.8"," 1.8%"," 12.5%"," 
                Compare
            "
"101"," Rockies"," 2013"," 6530"," 16.4"," 10.4"," 35.6%"," 2.5%"," 4160"," 23.3"," 17.3"," 1.4%"," 15.8%"," 
                Compare
            "
"102"," Marlins"," 2014"," 6399"," 16.4"," 10.4"," 35.1%"," 1.6%"," 3940"," 23.2"," 17.2"," 0.8%"," 13.0%"," 
                Compare
            "
"103"," Padres"," 2018"," 7011"," 16.4"," 10.4"," 37.1%"," 2.0%"," 4196"," 23.2"," 17.2"," 1.4%"," 15.5%"," 
                Compare
            "
"104"," Marlins"," 2013"," 6692"," 16.5"," 10.5"," 35.6%"," 2.2%"," 3964"," 23.0"," 17.0"," 1.4%"," 12.1%"," 
                Compare
            "
"105"," Dodgers"," 2012"," 6680"," 16.5"," 10.5"," 33.7%"," 1.7%"," 3716"," 23.6"," 17.6"," 0.6%"," 14.3%"," 
                Compare
            "
"106"," Reds"," 2011"," 6727"," 16.5"," 10.5"," 33.9%"," 2.0%"," 4051"," 22.5"," 16.5"," 2.8%"," 12.4%"," 
                Compare
            "
"107"," Reds"," 2017"," 7064"," 16.5"," 10.5"," 32.0%"," 1.4%"," 4151"," 22.6"," 16.6"," 1.4%"," 11.1%"," 
                Compare
            "
"108"," Reds"," 2012"," 6893"," 16.6"," 10.6"," 33.3%"," 2.7%"," 3701"," 23.8"," 17.8"," 1.2%"," 16.7%"," 
                Compare
            "
"109"," Guardians"," 2022"," 6498"," 16.6"," 10.6"," 32.8%"," 2.3%"," 3657"," 22.6"," 16.6"," 0.7%"," 10.7%"," 
                Compare
            "
"110"," Reds"," 2015"," 7042"," 16.6"," 10.6"," 38.2%"," 4.1%"," 4166"," 23.3"," 17.3"," 7.1%"," 20.1%"," 
                Compare
            "
"111"," Rockies"," 2018"," 7232"," 16.6"," 10.6"," 31.1%"," 1.9%"," 3894"," 23.4"," 17.4"," 0.4%"," 14.4%"," 
                Compare
            "
"112"," Guardians"," 2019"," 7080"," 16.6"," 10.6"," 32.4%"," 1.5%"," 3695"," 23.7"," 17.7"," 0.2%"," 13.5%"," 
                Compare
            "
"113"," Dodgers"," 2011"," 6407"," 16.6"," 10.6"," 30.0%"," 1.5%"," 3742"," 24.1"," 18.1"," 1.0%"," 16.9%"," 
                Compare
            "
"114"," Tigers"," 2018"," 7128"," 16.6"," 10.6"," 33.0%"," 1.6%"," 4219"," 22.5"," 16.5"," 1.2%"," 10.7%"," 
                Compare
            "
"115"," Yankees"," 2012"," 6885"," 16.6"," 10.6"," 32.1%"," 1.6%"," 3814"," 22.5"," 16.5"," 1.8%"," 13.1%"," 
                Compare
            "
"116"," Reds"," 2020"," 2605"," 16.6"," 10.6"," 31.1%"," 1.8%"," 1512"," 22.2"," 16.2"," 2.5%"," 10.9%"," 
                Compare
            "
"117"," Phillies"," 2013"," 6328"," 16.7"," 10.7"," 33.3%"," 1.8%"," 4445"," 21.7"," 15.7"," 1.9%"," 11.0%"," 
                Compare
            "
"118"," Cardinals"," 2015"," 6436"," 16.7"," 10.7"," 36.5%"," 3.7%"," 4079"," 24.0"," 18.0"," 7.3%"," 22.5%"," 
                Compare
            "
"119"," Nationals"," 2010"," 6845"," 16.7"," 10.7"," 33.4%"," 2.9%"," 4572"," 23.0"," 17.0"," 1.8%"," 14.5%"," 
                Compare
            "
"120"," Rangers"," 2013"," 6875"," 16.7"," 10.7"," 32.3%"," 2.6%"," 3797"," 22.7"," 16.7"," 1.7%"," 12.6%"," 
                Compare
            "
"121"," Twins"," 2014"," 6269"," 16.7"," 10.7"," 30.0%"," 1.5%"," 4022"," 22.4"," 16.4"," 1.2%"," 10.5%"," 
                Compare
            "
"122"," Brewers"," 2013"," 7086"," 16.7"," 10.7"," 30.1%"," 1.9%"," 3998"," 23.8"," 17.8"," 1.5%"," 15.5%"," 
                Compare
            "
"123"," Guardians"," 2018"," 6984"," 16.7"," 10.7"," 27.9%"," 1.5%"," 3761"," 23.6"," 17.6"," 0.3%"," 12.4%"," 
                Compare
            "
"124"," White Sox"," 2014"," 7173"," 16.7"," 10.7"," 32.4%"," 1.4%"," 4254"," 22.4"," 16.4"," 1.7%"," 10.2%"," 
                Compare
            "
"125"," Rockies"," 2020"," 2488"," 16.7"," 10.7"," 29.3%"," 2.0%"," 1617"," 23.4"," 17.4"," 1.4%"," 14.0%"," 
                Compare
            "
"126"," Tigers"," 2019"," 7041"," 16.8"," 10.8"," 32.3%"," 1.9%"," 4430"," 22.3"," 16.3"," 1.6%"," 10.9%"," 
                Compare
            "
"127"," Tigers"," 2020"," 2455"," 16.8"," 10.8"," 31.6%"," 1.5%"," 1642"," 22.4"," 16.4"," 0.9%"," 9.2%"," 
                Compare
            "
"128"," Reds"," 2016"," 7102"," 16.8"," 10.8"," 33.4%"," 3.0%"," 4378"," 22.8"," 16.8"," 7.5%"," 18.3%"," 
                Compare
            "
"129"," Cardinals"," 2019"," 7199"," 16.8"," 10.8"," 30.6%"," 1.4%"," 3885"," 24.5"," 18.5"," 0.7%"," 15.8%"," 
                Compare
            "
