"Rk.","Team","Season","Pitches_empty","Tempo_empty","TimerEquiv._empty","Fast %_empty","Slow %_empty","Pitches_onBase","Tempo_onBase","TimerEquiv._onBase","Fast %_onBase","Slow %_onBase"
"130"," Braves"," 2017"," 6754"," 16.8"," 10.8"," 30.5%"," 1.7%"," 4216"," 21.9"," 15.9"," 2.1%"," 9.4%"," 
                Compare
            "
"131"," Giants"," 2022"," 6637"," 16.8"," 10.8"," 31.7%"," 2.7%"," 4231"," 22.4"," 16.4"," 2.2%"," 11.7%"," 
                Compare
            "
"132"," Reds"," 2014"," 6894"," 16.8"," 10.8"," 33.4%"," 3.3%"," 3717"," 23.8"," 17.8"," 1.0%"," 17.0%"," 
                Compare
            "
"133"," Braves"," 2014"," 6522"," 16.8"," 10.8"," 31.3%"," 2.6%"," 3781"," 22.7"," 16.7"," 0.9%"," 13.2%"," 
                Compare
            "
"134"," Orioles"," 2020"," 2522"," 16.8"," 10.8"," 28.2%"," 1.5%"," 1564"," 21.9"," 15.9"," 1.3%"," 10.6%"," 
                Compare
            "
"135"," Red Sox"," 2013"," 6772"," 16.8"," 10.8"," 29.8%"," 2.9%"," 4356"," 23.9"," 17.9"," 1.0%"," 16.4%"," 
                Compare
            "
"136"," Athletics"," 2014"," 6798"," 16.8"," 10.8"," 28.1%"," 2.0%"," 3600"," 22.7"," 16.7"," 1.3%"," 11.2%"," 
                Compare
            "
"137"," Mets"," 2017"," 6934"," 16.9"," 10.9"," 30.7%"," 2.1%"," 4647"," 23.3"," 17.3"," 1.0%"," 13.3%"," 
                Compare
            "
"138"," Cardinals"," 2018"," 7014"," 16.9"," 10.9"," 30.7%"," 2.1%"," 4225"," 24.4"," 18.4"," 0.5%"," 15.6%"," 
                Compare
            "
"139"," Rockies"," 2019"," 7053"," 16.9"," 10.9"," 29.5%"," 1.8%"," 4161"," 23.4"," 17.4"," 1.1%"," 14.3%"," 
                Compare
            "
"140"," Braves"," 2013"," 6604"," 16.9"," 10.9"," 28.0%"," 2.0%"," 3633"," 22.1"," 16.1"," 1.2%"," 9.9%"," 
                Compare
            "
"141"," Orioles"," 2019"," 7210"," 16.9"," 10.9"," 29.4%"," 1.2%"," 4624"," 22.5"," 16.5"," 0.9%"," 12.1%"," 
                Compare
            "
"142"," Cubs"," 2018"," 7330"," 16.9"," 10.9"," 28.4%"," 2.0%"," 4443"," 22.3"," 16.3"," 1.4%"," 12.9%"," 
                Compare
            "
"143"," Blue Jays"," 2012"," 6832"," 16.9"," 10.9"," 26.1%"," 2.0%"," 4186"," 23.6"," 17.6"," 1.2%"," 15.2%"," 
                Compare
            "
"144"," Angels"," 2013"," 6911"," 16.9"," 10.9"," 31.3%"," 2.4%"," 4310"," 24.1"," 18.1"," 0.7%"," 18.4%"," 
                Compare
            "
"145"," Pirates"," 2016"," 6667"," 16.9"," 10.9"," 34.2%"," 4.4%"," 4398"," 24.0"," 18.0"," 7.9%"," 22.7%"," 
                Compare
            "
"146"," Twins"," 2013"," 7002"," 16.9"," 10.9"," 28.0%"," 1.8%"," 4377"," 23.7"," 17.7"," 0.8%"," 13.5%"," 
                Compare
            "
"147"," Yankees"," 2011"," 6514"," 16.9"," 10.9"," 27.7%"," 1.7%"," 4028"," 22.8"," 16.8"," 1.4%"," 12.4%"," 
                Compare
            "
"148"," Nationals"," 2016"," 7057"," 16.9"," 10.9"," 33.9%"," 3.6%"," 3777"," 24.8"," 18.8"," 5.5%"," 24.5%"," 
                Compare
            "
"149"," Orioles"," 2021"," 6776"," 16.9"," 10.9"," 27.3%"," 1.7%"," 4448"," 22.6"," 16.6"," 0.9%"," 11.2%"," 
                Compare
            "
"150"," Mets"," 2019"," 7026"," 16.9"," 10.9"," 27.7%"," 1.7%"," 4177"," 23.5"," 17.5"," 0.8%"," 14.7%"," 
                Compare
            "
"151"," Orioles"," 2018"," 6901"," 16.9"," 10.9"," 25.9%"," 1.6%"," 4588"," 22.1"," 16.1"," 0.5%"," 8.7%"," 
                Compare
            "
"152"," Rangers"," 2019"," 6985"," 16.9"," 10.9"," 28.8%"," 2.2%"," 4709"," 23.1"," 17.1"," 1.0%"," 13.8%"," 
                Compare
            "
"153"," Tigers"," 2012"," 6759"," 16.9"," 10.9"," 29.5%"," 3.9%"," 3883"," 22.8"," 16.8"," 1.5%"," 17.7%"," 
                Compare
            "
"154"," Tigers"," 2011"," 6957"," 17.0"," 11.0"," 29.6%"," 4.0%"," 4190"," 23.3"," 17.3"," 1.5%"," 17.0%"," 
                Compare
            "
"155"," Mets"," 2015"," 6707"," 17.0"," 11.0"," 34.3%"," 4.2%"," 3550"," 23.9"," 17.9"," 6.0%"," 22.5%"," 
                Compare
            "
"156"," Rockies"," 2022"," 6620"," 17.0"," 11.0"," 28.2%"," 2.4%"," 4313"," 22.8"," 16.8"," 0.3%"," 13.0%"," 
                Compare
            "
"157"," Royals"," 2014"," 6813"," 17.0"," 11.0"," 29.9%"," 2.2%"," 4198"," 22.3"," 16.3"," 2.4%"," 11.8%"," 
                Compare
            "
"158"," Reds"," 2019"," 7540"," 17.0"," 11.0"," 28.3%"," 1.9%"," 3689"," 23.1"," 17.1"," 0.5%"," 10.8%"," 
                Compare
            "
"159"," Phillies"," 2017"," 6903"," 17.0"," 11.0"," 28.9%"," 2.4%"," 4123"," 22.8"," 16.8"," 1.4%"," 14.2%"," 
                Compare
            "
"160"," Giants"," 2017"," 6752"," 17.0"," 11.0"," 28.8%"," 2.5%"," 4318"," 23.2"," 17.2"," 0.9%"," 12.6%"," 
                Compare
            "
"161"," Marlins"," 2016"," 6969"," 17.0"," 11.0"," 34.8%"," 4.1%"," 4310"," 23.5"," 17.5"," 6.8%"," 19.7%"," 
                Compare
            "
"162"," Rays"," 2010"," 6842"," 17.0"," 11.0"," 29.5%"," 4.7%"," 4113"," 23.8"," 17.8"," 1.5%"," 16.0%"," 
                Compare
            "
"163"," Pirates"," 2014"," 6595"," 17.0"," 11.0"," 29.0%"," 2.1%"," 3552"," 23.6"," 17.6"," 1.2%"," 16.1%"," 
                Compare
            "
"164"," Pirates"," 2013"," 6596"," 17.0"," 11.0"," 29.8%"," 1.8%"," 3760"," 23.7"," 17.7"," 0.9%"," 14.9%"," 
                Compare
            "
"165"," Braves"," 2018"," 7271"," 17.0"," 11.0"," 28.2%"," 1.6%"," 4223"," 21.9"," 15.9"," 1.4%"," 9.4%"," 
                Compare
            "
"166"," Guardians"," 2017"," 7059"," 17.0"," 11.0"," 27.2%"," 2.0%"," 3565"," 23.7"," 17.7"," 0.2%"," 12.9%"," 
                Compare
            "
"167"," Cubs"," 2017"," 7401"," 17.0"," 11.0"," 27.9%"," 2.0%"," 4212"," 22.9"," 16.9"," 1.5%"," 14.0%"," 
                Compare
            "
"168"," Rangers"," 2015"," 6966"," 17.0"," 11.0"," 33.5%"," 4.7%"," 4523"," 23.5"," 17.5"," 5.9%"," 20.9%"," 
                Compare
            "
"169"," Mariners"," 2018"," 6729"," 17.1"," 11.1"," 26.5%"," 2.0%"," 3626"," 22.5"," 16.5"," 1.3%"," 10.8%"," 
                Compare
            "
"170"," Giants"," 2018"," 7156"," 17.1"," 11.1"," 27.9%"," 2.4%"," 4111"," 23.2"," 17.2"," 0.6%"," 11.8%"," 
                Compare
            "
"171"," Mariners"," 2012"," 6648"," 17.1"," 11.1"," 26.0%"," 1.6%"," 3739"," 22.8"," 16.8"," 1.2%"," 13.3%"," 
                Compare
            "
"172"," Cardinals"," 2020"," 2320"," 17.1"," 11.1"," 29.5%"," 1.9%"," 1501"," 23.5"," 17.5"," 1.7%"," 12.5%"," 
                Compare
            "
"173"," Mets"," 2014"," 6895"," 17.1"," 11.1"," 29.9%"," 2.7%"," 4068"," 23.2"," 17.2"," 1.9%"," 13.6%"," 
                Compare
            "
"174"," Marlins"," 2020"," 2331"," 17.1"," 11.1"," 27.4%"," 2.1%"," 1585"," 23.1"," 17.1"," 0.8%"," 13.0%"," 
                Compare
            "
"175"," Guardians"," 2014"," 6614"," 17.1"," 11.1"," 26.0%"," 2.2%"," 4188"," 23.6"," 17.6"," 1.0%"," 14.5%"," 
                Compare
            "
"176"," Mariners"," 2019"," 7118"," 17.1"," 11.1"," 27.0%"," 2.4%"," 4213"," 23.4"," 17.4"," 0.8%"," 14.7%"," 
                Compare
            "
"177"," Twins"," 2017"," 6768"," 17.1"," 11.1"," 28.3%"," 1.9%"," 4075"," 23.6"," 17.6"," 0.4%"," 14.9%"," 
                Compare
            "
"178"," Blue Jays"," 2018"," 6998"," 17.1"," 11.1"," 26.7%"," 1.6%"," 4501"," 22.9"," 16.9"," 0.3%"," 11.9%"," 
                Compare
            "
"179"," Rangers"," 2014"," 6817"," 17.1"," 11.1"," 28.1%"," 2.4%"," 4219"," 23.3"," 17.3"," 0.5%"," 13.5%"," 
                Compare
            "
"180"," Marlins"," 2015"," 6712"," 17.1"," 11.1"," 33.9%"," 4.7%"," 4001"," 23.2"," 17.2"," 8.1%"," 21.2%"," 
                Compare
            "
"181"," D-backs"," 2017"," 7446"," 17.1"," 11.1"," 28.6%"," 1.8%"," 3798"," 23.7"," 17.7"," 0.2%"," 15.1%"," 
                Compare
            "
"182"," Rockies"," 2017"," 6957"," 17.1"," 11.1"," 27.7%"," 2.4%"," 4119"," 23.9"," 17.9"," 0.6%"," 16.9%"," 
                Compare
            "
"183"," Padres"," 2017"," 7077"," 17.1"," 11.1"," 28.9%"," 1.9%"," 3996"," 23.5"," 17.5"," 0.9%"," 14.5%"," 
                Compare
            "
"184"," Red Sox"," 2015"," 6905"," 17.1"," 11.1"," 33.9%"," 5.8%"," 4410"," 23.6"," 17.6"," 8.9%"," 23.0%"," 
                Compare
            "
"185"," Angels"," 2015"," 6949"," 17.1"," 11.1"," 31.9%"," 4.1%"," 3976"," 24.7"," 18.7"," 4.7%"," 26.5%"," 
                Compare
            "
"186"," Blue Jays"," 2016"," 6955"," 17.1"," 11.1"," 33.5%"," 4.1%"," 3930"," 22.6"," 16.6"," 8.5%"," 16.5%"," 
                Compare
            "
"187"," Reds"," 2013"," 7217"," 17.1"," 11.1"," 28.6%"," 3.5%"," 3591"," 24.4"," 18.4"," 1.1%"," 18.5%"," 
                Compare
            "
"188"," Tigers"," 2021"," 6570"," 17.1"," 11.1"," 25.7%"," 2.0%"," 4442"," 23.4"," 17.4"," 0.3%"," 13.2%"," 
                Compare
            "
"189"," Mariners"," 2017"," 7058"," 17.1"," 11.1"," 25.9%"," 1.5%"," 3766"," 22.9"," 16.9"," 1.2%"," 11.8%"," 
                Compare
            "
"190"," Brewers"," 2012"," 7122"," 17.2"," 11.2"," 28.1%"," 2.5%"," 4468"," 23.7"," 17.7"," 1.5%"," 15.0%"," 
                Compare
            "
"191"," Tigers"," 2013"," 7182"," 17.2"," 11.2"," 26.9%"," 2.6%"," 3979"," 23.0"," 17.0"," 1.6%"," 16.2%"," 
                Compare
            "
"192"," Cubs"," 2022"," 6996"," 17.2"," 11.2"," 22.6%"," 2.2%"," 4281"," 22.3"," 16.3"," 2.0%"," 10.8%"," 
                Compare
            "
"193"," Orioles"," 2017"," 7282"," 17.2"," 11.2"," 26.1%"," 1.8%"," 4668"," 23.1"," 17.1"," 0.8%"," 11.7%"," 
                Compare
            "
"194"," Mariners"," 2016"," 6995"," 17.2"," 11.2"," 31.7%"," 4.1%"," 3798"," 23.7"," 17.7"," 5.7%"," 20.6%"," 
                Compare
            "
"195"," Rays"," 2012"," 7114"," 17.2"," 11.2"," 27.0%"," 3.4%"," 3960"," 24.1"," 18.1"," 1.0%"," 19.0%"," 
                Compare
            "
"196"," Twins"," 2018"," 7008"," 17.2"," 11.2"," 27.1%"," 2.0%"," 4512"," 23.0"," 17.0"," 0.9%"," 11.7%"," 
                Compare
            "
"197"," Brewers"," 2018"," 7483"," 17.2"," 11.2"," 29.7%"," 2.6%"," 3957"," 23.9"," 17.9"," 1.7%"," 16.8%"," 
                Compare
            "
"198"," Mariners"," 2013"," 6959"," 17.2"," 11.2"," 27.0%"," 2.1%"," 4044"," 23.2"," 17.2"," 1.3%"," 14.0%"," 
                Compare
            "
"199"," Dodgers"," 2014"," 6885"," 17.2"," 11.2"," 28.8%"," 3.1%"," 3841"," 23.6"," 17.6"," 1.4%"," 17.1%"," 
                Compare
            "
"200"," Mariners"," 2020"," 2654"," 17.2"," 11.2"," 24.4%"," 2.0%"," 1678"," 23.1"," 17.1"," 0.7%"," 14.9%"," 
                Compare
            "
"201"," Cubs"," 2016"," 7273"," 17.2"," 11.2"," 31.1%"," 3.9%"," 3653"," 23.9"," 17.9"," 5.8%"," 21.0%"," 
                Compare
            "
"202"," Astros"," 2014"," 6840"," 17.2"," 11.2"," 28.2%"," 3.5%"," 4128"," 24.1"," 18.1"," 1.4%"," 17.8%"," 
                Compare
            "
"203"," Marlins"," 2019"," 7075"," 17.3"," 11.3"," 27.3%"," 1.9%"," 3971"," 23.7"," 17.7"," 0.9%"," 14.0%"," 
                Compare
            "
"204"," Reds"," 2021"," 7199"," 17.3"," 11.3"," 26.2%"," 1.8%"," 4315"," 23.8"," 17.8"," 1.5%"," 14.0%"," 
                Compare
            "
"205"," Mariners"," 2014"," 6738"," 17.3"," 11.3"," 28.2%"," 2.2%"," 3560"," 23.2"," 17.2"," 1.3%"," 14.9%"," 
                Compare
            "
"206"," Cubs"," 2015"," 7184"," 17.3"," 11.3"," 31.4%"," 4.5%"," 3715"," 23.8"," 17.8"," 6.1%"," 23.0%"," 
                Compare
            "
"207"," Giants"," 2012"," 6684"," 17.3"," 11.3"," 23.7%"," 2.8%"," 4103"," 23.1"," 17.1"," 0.5%"," 12.5%"," 
                Compare
            "
"208"," Phillies"," 2019"," 7225"," 17.4"," 11.4"," 25.5%"," 2.1%"," 3967"," 23.6"," 17.6"," 2.0%"," 13.6%"," 
                Compare
            "
"209"," Astros"," 2019"," 7594"," 17.4"," 11.4"," 25.2%"," 2.0%"," 3572"," 22.7"," 16.7"," 3.0%"," 11.4%"," 
                Compare
            "
"210"," Royals"," 2022"," 6656"," 17.4"," 11.4"," 25.9%"," 2.3%"," 4694"," 22.0"," 16.0"," 2.0%"," 9.8%"," 
                Compare
            "
"211"," Mets"," 2020"," 2497"," 17.4"," 11.4"," 26.2%"," 1.9%"," 1661"," 23.8"," 17.8"," 0.2%"," 15.4%"," 
                Compare
            "
"212"," Phillies"," 2015"," 6531"," 17.4"," 11.4"," 31.0%"," 4.1%"," 4250"," 23.7"," 17.7"," 5.3%"," 20.9%"," 
                Compare
            "
"213"," Pirates"," 2015"," 6803"," 17.4"," 11.4"," 32.4%"," 5.2%"," 3800"," 24.2"," 18.2"," 6.8%"," 25.6%"," 
                Compare
            "
"214"," Rays"," 2018"," 7065"," 17.4"," 11.4"," 25.1%"," 2.0%"," 3703"," 23.6"," 17.6"," 1.1%"," 13.6%"," 
                Compare
            "
"215"," White Sox"," 2015"," 6863"," 17.4"," 11.4"," 31.9%"," 4.0%"," 3841"," 23.3"," 17.3"," 7.1%"," 19.8%"," 
                Compare
            "
"216"," Braves"," 2021"," 6717"," 17.4"," 11.4"," 27.0%"," 2.6%"," 3688"," 24.0"," 18.0"," 0.5%"," 15.9%"," 
                Compare
            "
"217"," Astros"," 2016"," 7268"," 17.4"," 11.4"," 31.9%"," 4.3%"," 4169"," 23.2"," 17.2"," 8.4%"," 18.1%"," 
                Compare
            "
"218"," Royals"," 2017"," 6856"," 17.4"," 11.4"," 23.1%"," 2.1%"," 4287"," 22.0"," 16.0"," 2.1%"," 9.9%"," 
                Compare
            "
"219"," Mets"," 2022"," 6902"," 17.4"," 11.4"," 24.0%"," 2.3%"," 3770"," 22.1"," 16.1"," 1.1%"," 10.4%"," 
                Compare
            "
"220"," Dodgers"," 2013"," 6857"," 17.4"," 11.4"," 26.2%"," 2.3%"," 3815"," 23.3"," 17.3"," 1.4%"," 14.9%"," 
                Compare
            "
"221"," Tigers"," 2014"," 6899"," 17.4"," 11.4"," 23.5%"," 2.2%"," 4102"," 24.7"," 18.7"," 1.0%"," 20.1%"," 
                Compare
            "
"222"," Yankees"," 2019"," 7197"," 17.5"," 11.5"," 24.0%"," 1.9%"," 4089"," 24.1"," 18.1"," 0.8%"," 16.4%"," 
                Compare
            "
"223"," Royals"," 2019"," 6867"," 17.5"," 11.5"," 25.4%"," 1.8%"," 4467"," 23.6"," 17.6"," 0.9%"," 13.0%"," 
                Compare
            "
"224"," Red Sox"," 2017"," 7336"," 17.5"," 11.5"," 28.7%"," 2.5%"," 4298"," 24.2"," 18.2"," 1.2%"," 16.6%"," 
                Compare
            "
"225"," Phillies"," 2018"," 6968"," 17.5"," 11.5"," 23.9%"," 2.4%"," 3925"," 23.4"," 17.4"," 1.7%"," 14.8%"," 
                Compare
            "
"226"," Guardians"," 2020"," 2633"," 17.5"," 11.5"," 22.9%"," 2.7%"," 1326"," 23.6"," 17.6"," 0.2%"," 14.1%"," 
                Compare
            "
"227"," Tigers"," 2022"," 6551"," 17.5"," 11.5"," 21.5%"," 1.9%"," 4031"," 23.0"," 17.0"," 0.7%"," 10.5%"," 
                Compare
            "
"228"," Rockies"," 2014"," 6604"," 17.5"," 11.5"," 27.7%"," 2.3%"," 4173"," 23.9"," 17.9"," 1.1%"," 17.4%"," 
                Compare
            "
"229"," Rangers"," 2016"," 6611"," 17.5"," 11.5"," 30.0%"," 4.2%"," 4325"," 23.3"," 17.3"," 4.4%"," 18.7%"," 
                Compare
            "
"230"," Red Sox"," 2014"," 6777"," 17.5"," 11.5"," 23.6%"," 3.3%"," 4387"," 23.9"," 17.9"," 0.8%"," 18.2%"," 
                Compare
            "
"231"," Blue Jays"," 2017"," 7090"," 17.5"," 11.5"," 24.2%"," 2.5%"," 4366"," 22.5"," 16.5"," 0.6%"," 11.7%"," 
                Compare
            "
"232"," Angels"," 2014"," 7463"," 17.5"," 11.5"," 27.3%"," 2.2%"," 4211"," 24.4"," 18.4"," 0.5%"," 17.1%"," 
                Compare
            "
"233"," Brewers"," 2014"," 7170"," 17.5"," 11.5"," 23.4%"," 2.7%"," 3733"," 24.0"," 18.0"," 0.8%"," 14.9%"," 
                Compare
            "
"234"," Astros"," 2013"," 6985"," 17.5"," 11.5"," 27.6%"," 4.3%"," 4694"," 25.0"," 19.0"," 1.1%"," 21.9%"," 
                Compare
            "
"235"," Brewers"," 2017"," 7121"," 17.6"," 11.6"," 26.1%"," 2.7%"," 4162"," 24.1"," 18.1"," 1.0%"," 17.6%"," 
                Compare
            "
"236"," Yankees"," 2018"," 7104"," 17.6"," 11.6"," 20.7%"," 1.6%"," 4179"," 23.6"," 17.6"," 0.4%"," 13.2%"," 
                Compare
            "
"237"," Mariners"," 2022"," 6557"," 17.6"," 11.6"," 24.5%"," 3.2%"," 3704"," 22.8"," 16.8"," 0.8%"," 12.0%"," 
                Compare
            "
"238"," Pirates"," 2012"," 6461"," 17.6"," 11.6"," 26.4%"," 2.2%"," 3757"," 24.1"," 18.1"," 1.1%"," 17.9%"," 
                Compare
            "
"239"," Twins"," 2015"," 6536"," 17.6"," 11.6"," 29.1%"," 4.9%"," 3983"," 24.5"," 18.5"," 5.9%"," 24.4%"," 
                Compare
            "
"240"," Guardians"," 2016"," 7046"," 17.6"," 11.6"," 27.0%"," 3.6%"," 3772"," 25.1"," 19.1"," 2.5%"," 23.3%"," 
                Compare
            "
"241"," Orioles"," 2014"," 7117"," 17.6"," 11.6"," 19.4%"," 1.9%"," 4137"," 23.9"," 17.9"," 0.5%"," 12.1%"," 
                Compare
            "
"242"," Phillies"," 2016"," 6880"," 17.6"," 11.6"," 27.3%"," 3.9%"," 4182"," 24.2"," 18.2"," 4.4%"," 21.9%"," 
                Compare
            "
"243"," Orioles"," 2015"," 6908"," 17.6"," 11.6"," 27.3%"," 4.1%"," 4172"," 23.7"," 17.7"," 4.3%"," 19.4%"," 
                Compare
            "
"244"," Nationals"," 2017"," 7193"," 17.7"," 11.7"," 23.6%"," 1.6%"," 4066"," 24.0"," 18.0"," 0.6%"," 15.5%"," 
                Compare
            "
"245"," Brewers"," 2019"," 7378"," 17.7"," 11.7"," 26.1%"," 2.8%"," 4235"," 23.9"," 17.9"," 1.0%"," 14.9%"," 
                Compare
            "
"246"," Tigers"," 2017"," 6843"," 17.7"," 11.7"," 23.2%"," 2.3%"," 4382"," 24.8"," 18.8"," 0.7%"," 17.3%"," 
                Compare
            "
"247"," White Sox"," 2016"," 6926"," 17.7"," 11.7"," 28.9%"," 3.7%"," 4229"," 24.3"," 18.3"," 4.3%"," 21.5%"," 
                Compare
            "
"248"," Twins"," 2016"," 6993"," 17.7"," 11.7"," 28.2%"," 4.2%"," 4381"," 22.9"," 16.9"," 7.2%"," 17.5%"," 
                Compare
            "
"249"," Braves"," 2022"," 6829"," 17.7"," 11.7"," 24.0%"," 3.2%"," 3906"," 23.9"," 17.9"," 0.3%"," 16.4%"," 
                Compare
            "
"250"," Mariners"," 2015"," 7029"," 17.7"," 11.7"," 28.5%"," 4.3%"," 3869"," 23.5"," 17.5"," 6.2%"," 20.0%"," 
                Compare
            "
"251"," D-backs"," 2022"," 6877"," 17.7"," 11.7"," 18.3%"," 2.4%"," 4007"," 22.9"," 16.9"," 0.9%"," 13.3%"," 
                Compare
            "
"252"," Angels"," 2019"," 7500"," 17.7"," 11.7"," 23.3%"," 3.2%"," 4300"," 25.0"," 19.0"," 0.7%"," 19.8%"," 
                Compare
            "
"253"," Nationals"," 2018"," 6954"," 17.7"," 11.7"," 22.1%"," 1.6%"," 3916"," 23.9"," 17.9"," 0.7%"," 13.7%"," 
                Compare
            "
"254"," Rays"," 2016"," 7141"," 17.7"," 11.7"," 28.1%"," 4.1%"," 3986"," 24.0"," 18.0"," 5.4%"," 20.5%"," 
                Compare
            "
"255"," Brewers"," 2022"," 7396"," 17.7"," 11.7"," 25.0%"," 3.0%"," 4295"," 23.0"," 17.0"," 1.6%"," 14.0%"," 
                Compare
            "
"256"," D-backs"," 2015"," 7034"," 17.7"," 11.7"," 28.8%"," 5.3%"," 4070"," 25.7"," 19.7"," 3.7%"," 29.5%"," 
                Compare
            "
"257"," Orioles"," 2016"," 7136"," 17.7"," 11.7"," 25.5%"," 3.6%"," 4364"," 23.5"," 17.5"," 5.6%"," 17.2%"," 
                Compare
            "
"258"," Cardinals"," 2022"," 6901"," 17.8"," 11.8"," 24.1%"," 3.7%"," 4113"," 23.8"," 17.8"," 1.1%"," 13.8%"," 
                Compare
            "
"259"," Red Sox"," 2012"," 6570"," 17.8"," 11.8"," 23.4%"," 3.3%"," 4116"," 24.8"," 18.8"," 0.8%"," 20.0%"," 
                Compare
            "
